brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,Discount_Percentage,Revenue_Score,Price Category
RARE RABBIT,Men Evolve Regular Fit Jeans,4049,4999,0.19,4.2,130,,526370,Premium
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,4049,4999,0.19,4.2,130,,526370,Premium
Peter England Casuals,Men Tapered Fit Jeans,4049,4999,0.19,4.2,130,,526370,Premium
Peter England Casuals,Men Skinny Fit Jeans,1549,2499,0.38,4.2,130,,201370,Mid
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
Freeform by High Star,Plus Size Men Mid-Rise Jeans,1854,3499,0.47,3.4,17,,31518,Mid
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.4,17,,26333,Mid
Freeform by High Star,Plus Size Men Mid-Rise Jeans,1715,3299,0.48,3.4,17,,29155,Mid
Freeform by High Star,Men Plus Size Mid-Rise Jeans,1748,3299,0.47,3.9,17,,29716,Mid
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
Freeform by High Star,Plus Size Men Mid-Rise Jeans,1715,3299,0.48,4.5,15,,25725,Mid
Freeform by High Star,Men Plus Size Mid-Rise Jeans,1749,3499,0.5,4.2,5,,8745,Mid
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
Freeform by High Star,Men Plus Size Mid-Rise Jeans,1589,2999,0.47,4.7,7,,11123,Mid
Pepe Jeans,Men Slim Fit Jeans,2499,4999,0.5,4.3,8,,19992,Premium
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
V-Mart,Men Mid-Rise  Slim Fit Jeans,557,599,0.07,3.7,124,,69068,Budget
V-Mart,Men Mid Rise Cotton Jeans,599,999,0.4,3.7,124,,74276,Budget
United Colors of Benetton,Men Anti Fit Mid-Rise Jeans,599,999,0.4,3.7,124,,74276,Budget
Louis Philippe Jeans,Men Slim Fit Pure Cotton Jeans,599,999,0.4,3.7,124,,74276,Budget
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Pepe Jeans,Vapour Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Pepe Jeans,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Pepe Jeans,Men Skinny Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Pepe Jeans,Vapour Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Roadster,Men Wide Leg Jeans,805,2599,0.69,3.1,35,,28175,Budget
Pepe Jeans,Men Stretchable Jeans,805,2599,0.69,3.1,35,,28175,Budget
Banana Club,Men Slim Fit Jeans,1639,1999,0.18,3.1,35,,57365,Mid
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
Banana Club,Men Slim Fit Jeans,1639,1999,0.18,4.2,42,,68838,Mid
Mufti,Men Slim Fit Jeans,1701,4599,0.63,4.2,42,,71442,Mid
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1701,4599,0.63,4.2,42,,71442,Mid
Voi Jeans,Men Skinny Fit Jeans,1924,3499,0.45,4.2,42,,80808,Mid
Flying Machine,Men Super Skinny Fit Jeans,1800,3999,0.54,4.4,7,,12600,Mid
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
SELECTED,Men Slim Fit Jeans,4549,6999,0.35,4.7,10,,45490,Premium
Pepe Jeans,Men Slim Fit Jeans,1599,3199,0.5,4.1,19,,30381,Mid
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4.1,19,,34751,Mid
WROGN,Men Light Fade Cotton Jeans,1519,3799,0.6,4.1,12,,18228,Mid
Banana Club,Men Slim Fit Jeans,1637,2599,0.37,4.1,12,,19644,Mid
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,1637,2599,0.37,4.1,12,,19644,Mid
Banana Club,Men Slim Fit Jeans,1649,2199,0.25,4.1,12,,19788,Mid
Banana Club,Men Slim Fit Jeans,1649,2199,0.25,4.1,12,,19788,Mid
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
Banana Club,Men Slim Fit Cotton Jeans,1275,2199,0.42,4.2,130,,165750,Mid
Banana Club,Men Slim Fit Cotton Jeans,1275,2199,0.42,4.2,130,,165750,Mid
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4.2,130,,300170,Premium
Banana Club,Men Slim Fit Mid-Rise Jeans,2309,3499,0.34,4.2,130,,300170,Premium
Banana Club,Men Slim Fit Cotton Jeans,1649,2499,0.34,4.2,130,,214370,Mid
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1649,2499,0.34,4.2,130,,214370,Mid
Banana Club,Men Jean Mid-Rise Jeans,1539,1999,0.23,3.8,6,,9234,Mid
Banana Club,Men Relaxed Fit Cargo Jeans,1539,1999,0.23,3.8,6,,9234,Mid
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
Banana Club,Men Relaxed Fit Cotton Jeans,2079,3999,0.48,3.9,31,,64449,Premium
Banana Club,Men Slim Fit Mid-Rise Jeans,2079,3999,0.48,3.9,31,,64449,Premium
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,31,,48019,Mid
Banana Club,Men Jean Slim Fit Cotton Jeans,1539,1999,0.23,3.9,31,,47709,Mid
Banana Club,Men Slim Fit Cotton Jeans,1539,1999,0.23,3.9,31,,47709,Mid
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
Banana Club,Men Mid-Rise Cotton Jeans,1539,1999,0.23,4.1,25,,38475,Mid
Banana Club,Men Slim Fit Cotton Jeans,1637,2599,0.37,4.1,25,,40925,Mid
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
Banana Club,Men Slim Fit Cotton Jeans,1649,2199,0.25,3.8,16,,26384,Mid
Banana Club,Men Slim Fit Cotton Jeans,1539,1999,0.23,3.8,16,,24624,Mid
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
Banana Club,Men Slim Fit Mid-Rise Jeans,1639,1999,0.18,3.7,124,,203236,Mid
Banana Club,Men Slim Fit Jeans,1539,1999,0.23,3.9,8,,12312,Mid
United Colors of Benetton,Men Anti Fit Mid-Rise Jeans,1539,1999,0.23,3.9,8,,12312,Mid
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Pepe Jeans,Vapour Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Pepe Jeans,Men Stretchable Jeans,1829,2999,0.39,4.6,5,,9145,Mid
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Banana Club,Men Slim Fit Jeans,1639,1999,0.18,4.6,5,,8195,Mid
Banana Club,Men Slim Fit Jeans,1639,1999,0.18,4.6,5,,8195,Mid
Roadster,Men Wide Leg Jeans,805,2599,0.69,3.1,35,,28175,Budget
Mufti,Men Slim Fit Jeans,1701,4599,0.63,3.1,35,,59535,Mid
Voi Jeans,Men Skinny Fit Jeans,1924,3499,0.45,3.1,35,,67340,Mid
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
Flying Machine,Men Super Skinny Fit Jeans,1800,3999,0.54,4.4,7,,12600,Mid
SELECTED,Men Slim Fit Jeans,4549,6999,0.35,4.7,10,,45490,Premium
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,4549,6999,0.35,4.7,10,,45490,Premium
Pepe Jeans,Men Slim Fit Jeans,1599,3199,0.5,4.1,19,,30381,Mid
WROGN,Men Light Fade Cotton Jeans,1519,3799,0.6,4.1,12,,18228,Mid
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
Banana Club,Men Slim Fit Jeans,1637,2599,0.37,4,63,,103131,Mid
Banana Club,Men Slim Fit Jeans,1649,2199,0.25,4,63,,103887,Mid
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
Banana Club,Men Slim Fit Jeans,1829,2999,0.39,4,63,,115227,Mid
Banana Club,Men Slim Fit Cotton Jeans,1829,2999,0.39,4,63,,115227,Mid
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,1829,2999,0.39,4,63,,115227,Mid
Banana Club,Men Slim Fit Cotton Jeans,1829,2999,0.39,4,63,,115227,Mid
Banana Club,Men Slim Fit Mid-Rise Jeans,1829,2999,0.39,4,63,,115227,Mid
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
Banana Club,Men Slim Fit Cotton Jeans,1649,2499,0.34,4.2,130,,214370,Mid
Banana Club,Men Jean Mid-Rise Jeans,1539,1999,0.23,3.8,6,,9234,Mid
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,3.8,6,,13854,Premium
Banana Club,Men Relaxed Fit Cargo Jeans,2309,3499,0.34,3.8,6,,13854,Premium
Banana Club,Men Relaxed Fit Cotton Jeans,2309,3499,0.34,3.8,6,,13854,Premium
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,2309,3499,0.34,3.8,6,,13854,Premium
Banana Club,Men Slim Fit Mid-Rise Jeans,2309,3499,0.34,3.8,6,,13854,Premium
Banana Club,Men Jean Slim Fit Cotton Jeans,1539,1999,0.23,3.8,6,,9234,Mid
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
Banana Club,Men Slim Fit Cotton Jeans,2079,3999,0.48,3.9,31,,64449,Premium
Banana Club,Men Mid-Rise Cotton Jeans,1539,1999,0.23,3.9,31,,47709,Mid
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,31,,48019,Mid
Banana Club,Men Slim Fit Cotton Jeans,1637,2599,0.37,3.9,31,,50747,Mid
Banana Club,Men Slim Fit Cotton Jeans,1649,2199,0.25,3.9,31,,51119,Mid
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
Banana Club,Men Slim Fit Cotton Jeans,1539,1999,0.23,4.1,25,,38475,Mid
Banana Club,Men Slim Fit Mid-Rise Jeans,1639,1999,0.18,4.1,25,,40975,Mid
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
Banana Club,Men Slim Fit Jeans,1539,1999,0.23,3.9,8,,12312,Mid
V-Mart,Men Slim Fit Mid-Rise Jeans,557,599,0.07,3.3,6,,3342,Budget
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
V-Mart,Men Mid-Rise Cotton Jeans,539,599,0.1,2.9,9,,4851,Budget
V-Mart,Men Slim Fit Cotton Jeans,539,599,0.1,2.9,9,,4851,Budget
United Colors of Benetton,Men Anti Fit Mid-Rise Jeans,539,599,0.1,2.9,9,,4851,Budget
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Big Hello - The Plus Life,Men Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Big Hello - The Plus Life,Men Jeans,2799,3999,0.3,4.6,5,,13995,Premium
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,2799,3999,0.3,4.6,5,,13995,Premium
Big Hello - The Plus Life,Men Jeans,2799,3999,0.3,4.6,5,,13995,Premium
Big Hello - The Plus Life,Men Jeans,2799,3999,0.3,4.6,5,,13995,Premium
Roadster,Men Wide Leg Jeans,805,2599,0.69,3.1,35,,28175,Budget
SPYKAR,Men Slim Fit Stretchable Jeans,2079,5199,0.6,3.1,35,,72765,Premium
SPYKAR,Men Relaxed Fit Jeans,1749,3499,0.5,3.1,35,,61215,Mid
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
SPYKAR,Men Slim Fit Jeans,1749,3499,0.5,4.2,42,,73458,Mid
SPYKAR,Men Relaxed Fit Jeans,1999,3999,0.5,4.2,42,,83958,Mid
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1999,3999,0.5,4.2,42,,83958,Mid
SIMON CARTER LONDON,Men Slim Fit Mid-Rise Jeans,1484,3299,0.55,4.2,42,,62328,Mid
SIMON CARTER LONDON,Men Slim Fit Mid-Rise Jeans,1499,2999,0.5,4.2,42,,62958,Mid
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
Peter England Casuals,Men Skinny Fit Mid-Rise Jeans,1609,2299,0.3,4,63,,101367,Mid
Peter England Casuals,Men Slim Fit Jeans,1609,2299,0.3,4,63,,101367,Mid
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
Peter England Casuals,Men Slim Fit Jeans,1829,2999,0.39,4,63,,115227,Mid
Big Hello - The Plus Life,Plus Size Men Light Fade Jeans,1829,2999,0.39,4,63,,115227,Mid
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,1829,2999,0.39,4,63,,115227,Mid
Big Hello - The Plus Life,Plus Size Men Clean Look Jeans,2799,3999,0.3,4,63,,176337,Premium
Jack & Jones,Men Slim Fit Low-Rise Jeans,1499,2999,0.5,4.2,27,,40473,Mid
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
Jack & Jones,Men Skinny Fit Low-Rise Jeans,1484,3299,0.55,4.2,6,,8904,Mid
Jack & Jones,Men Slim Fit Low-Rise Jeans,1664,3699,0.55,4.7,10,,16640,Mid
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4.7,10,,23090,Premium
Flying Machine,Men Tapered Fit Jeans,1575,3499,0.54,4.7,10,,15750,Mid
Xee,Men Slim Fit Jeans,599,1899,13,3.7,10,,5990,Budget
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,599,1899,13,3.7,10,,5990,Budget
Xee,Men Slim Fit Jeans,599,1899,13,3.2,6,,3594,Budget
Xee,Men Slim Fit Jeans,599,1899,13,3.2,6,,3594,Budget
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
Xee,Men Slim Fit Jeans,599,1899,13,2.5,10,,5990,Budget
Xee,Men Comfort Slim Fit Jeans,599,1899,13,3.2,6,,3594,Budget
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.2,6,,9294,Mid
Xee,Men Comfort Slim Fit Jeans,599,1899,13,3.2,6,,3594,Budget
Xee,Men Comfort Slim Fit Jeans,599,1899,13,3.4,7,,4193,Budget
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
V-Mart,Men Slim Fit Cotton Jeans,599,999,0.4,4.1,25,,14975,Budget
ROCKING SWAMY,Stretchable Cotton Jeans,1479,1999,0.26,4.1,25,,36975,Mid
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
Tailoraedge,Men Relaxed Fit Cargo Jeans,2199,3999,0.45,3.8,9,,19791,Premium
VAN HEUSEN DENIM LABS,Skinny Fit Light Fade Jeans,2134,3049,0.3,3.8,9,,19206,Premium
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
VAN HEUSEN DENIM LABS,Men Skinny Fit Jeans,2099,2999,0.3,3.6,24,,50376,Premium
VAN HEUSEN DENIM LABS,Men Skinny Fit Jeans,2134,3049,0.3,3.6,24,,51216,Premium
United Colors of Benetton,Men Anti Fit Mid-Rise Jeans,2134,3049,0.3,3.6,24,,51216,Premium
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Jack & Jones,Men Slim Fit Low-Rise Jeans,2999,5999,0.5,4.1,27,,80973,Premium
Jack & Jones,Men Slim Fit Low-Rise Jeans,2749,4999,0.45,4.5,10,,27490,Premium
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,2749,4999,0.45,4.5,10,,27490,Premium
Jack & Jones,Men Skinny Fit Low-Rise Jeans,3149,6999,0.55,4.5,10,,31490,Premium
Urban Monkey,Unisex Mid-Rise Cotton Jeans,2149,2499,0.14,5,5,,10745,Premium
Roadster,Men Wide Leg Jeans,805,2599,0.69,3.1,35,,28175,Budget
RARE RABBIT,Men Astro Slim Fit Jeans,2949,4999,0.41,4.5,12,,35388,Premium
VAN HEUSEN DENIM LABS,Men Skinny Fit Jeans,2449,3499,0.3,4.5,12,,29388,Premium
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
Allen Solly,Men Slim Fit Cargo Jeans,2399,3999,0.4,4.2,6,,14394,Premium
Allen Solly,Men Slim Fit Stretchable Jeans,2399,3999,0.4,4.2,6,,14394,Premium
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,2399,3999,0.4,4.2,6,,14394,Premium
Nautica,Men Straight Fit Jeans,3299,5499,0.4,4.2,6,,19794,Premium
UNSIZED,Plus Size Men Jeans,2639,3299,0.2,4.2,6,,15834,Premium
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
ZUSH,Men Plus Size Light Fade Jeans,2200,4000,0.45,4,63,,138600,Premium
Tommy Hilfiger,Men Slim Fit Light Fade Jeans,4499,8999,0.5,4,63,,283437,Premium
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
SPYKAR,Men Mid-Rise Jeans,2079,5199,0.6,4,63,,130977,Premium
SPYKAR,Men Tapered Fit Jeans,1599,3999,0.6,4,63,,100737,Mid
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,1599,3999,0.6,4,63,,100737,Mid
Peter England Casuals,Men Slim Fit Jeans,1859,2999,0.38,4,63,,117117,Mid
Lee,Men Skinny Fit Mid-Rise Jeans,1899,3799,0.5,4,63,,119637,Mid
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
Pepe Jeans,Men Slim Fit Jeans,2499,4999,0.5,4.5,8,,19992,Premium
Jack & Jones,Men Skinny Fit Low-Rise Jeans,2024,4499,0.55,3.8,9,,18216,Premium
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,3.8,9,,20781,Premium
WAIMEA,Men Highly Distressed Jeans,3499,6999,0.5,3.8,9,,31491,Premium
WAIMEA,Men Mid-Rise Bootcut Jeans,3849,6999,0.45,3.8,9,,34641,Premium
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,3849,6999,0.45,3.8,9,,34641,Premium
WAIMEA,Men Mid-Rise Bootcut Jeans,2799,6999,0.6,3.8,9,,25191,Premium
WAIMEA,Men Bootcut Jeans,3499,6999,0.5,3.8,9,,31491,Premium
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
WAIMEA,Men Highly Distressed Jeans,3499,6999,0.5,3.9,31,,108469,Premium
WAIMEA,Men Skinny Fit Jeans,2449,6999,0.65,3.9,31,,75919,Premium
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,31,,48019,Mid
WAIMEA,Men Skinny Fit Jeans,2449,6999,0.65,3.9,31,,75919,Premium
WAIMEA,Men Stretchable Jeans,3499,6999,0.5,3.9,31,,108469,Premium
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
WAIMEA,Men Stretchable Jeans,3499,6999,0.5,4.1,25,,87475,Premium
WAIMEA,Men Skinny Fit Jeans,2799,6999,0.6,4.1,25,,69975,Premium
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
WAIMEA,Men Bootcut Jeans,3499,6999,0.5,3.8,16,,55984,Premium
WAIMEA,Men Relaxed Fit Jeans,2799,6999,0.6,3.7,6,,16794,Premium
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
WAIMEA,Men Bootcut Jeans,3499,6999,0.5,3.7,124,,433876,Premium
WAIMEA,Men Stretchable Jeans,3499,6999,0.5,3.7,124,,433876,Premium
United Colors of Benetton,Men Anti Fit Mid-Rise Jeans,3499,6999,0.5,3.7,124,,433876,Premium
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Jack & Jones,Men Skinny Fit Low-Rise Jeans,3149,6999,0.55,4.6,5,,15745,Premium
Urban Monkey,Unisex Mid-Rise Cotton Jeans,2149,2499,0.14,5,5,,10745,Premium
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,2149,2499,0.14,5,5,,10745,Premium
RARE RABBIT,Men Astro Slim Fit Jeans,2949,4999,0.41,4.5,12,,35388,Premium
VAN HEUSEN DENIM LABS,Men Skinny Fit Jeans,2449,3499,0.3,4.5,12,,29388,Premium
Roadster,Men Wide Leg Jeans,805,2599,0.69,3.1,35,,28175,Budget
Allen Solly,Men Slim Fit Cargo Jeans,2399,3999,0.4,4.2,6,,14394,Premium
Allen Solly,Men Slim Fit Stretchable Jeans,2399,3999,0.4,4.2,6,,14394,Premium
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
Nautica,Men Straight Fit Jeans,3299,5499,0.4,4.2,42,,138558,Premium
UNSIZED,Plus Size Men Jeans,2639,3299,0.2,4.2,42,,110838,Premium
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,2639,3299,0.2,4.2,42,,110838,Premium
ZUSH,Men Plus Size Light Fade Jeans,2200,4000,0.45,4.2,42,,92400,Premium
Tommy Hilfiger,Men Slim Fit Light Fade Jeans,4499,8999,0.5,4.2,42,,188958,Premium
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
SPYKAR,Men Mid-Rise Jeans,2079,5199,0.6,4,63,,130977,Premium
SPYKAR,Men Tapered Fit Jeans,1599,3999,0.6,4,63,,100737,Mid
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
Peter England Casuals,Men Slim Fit Jeans,1859,2999,0.38,4,63,,117117,Mid
Lee,Men Skinny Fit Mid-Rise Jeans,1899,3799,0.5,4,63,,119637,Mid
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,,390192,Mid
Pepe Jeans,Men Slim Fit Jeans,2499,4999,0.5,4.5,8,,19992,Premium
Jack & Jones,Men Skinny Fit Low-Rise Jeans,2024,4499,0.55,3.8,9,,18216,Premium
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,2024,4499,0.55,3.8,9,,18216,Premium
WAIMEA,Men Highly Distressed Jeans,3499,6999,0.5,3.8,9,,31491,Premium
WAIMEA,Men Mid-Rise Bootcut Jeans,3849,6999,0.45,3.8,9,,34641,Premium
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
WAIMEA,Men Mid-Rise Bootcut Jeans,2799,6999,0.6,4.2,130,,363870,Premium
WAIMEA,Men Bootcut Jeans,3499,6999,0.5,4.2,130,,454870,Premium
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4.2,130,,300170,Premium
WAIMEA,Men Highly Distressed Jeans,3499,6999,0.5,4.2,130,,454870,Premium
WAIMEA,Men Skinny Fit Jeans,2449,6999,0.65,4.2,130,,318370,Premium
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,2449,6999,0.65,4.2,130,,318370,Premium
WAIMEA,Men Skinny Fit Jeans,2449,6999,0.65,4.2,130,,318370,Premium
WAIMEA,Men Stretchable Jeans,3499,6999,0.5,4.2,130,,454870,Premium
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
WAIMEA,Men Stretchable Jeans,3499,6999,0.5,3.9,31,,108469,Premium
WAIMEA,Men Skinny Fit Jeans,2799,6999,0.6,3.9,31,,86769,Premium
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,31,,48019,Mid
WAIMEA,Men Bootcut Jeans,3499,6999,0.5,3.9,31,,108469,Premium
WAIMEA,Men Relaxed Fit Jeans,2799,6999,0.6,3.7,6,,16794,Premium
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
WAIMEA,Men Bootcut Jeans,3499,6999,0.5,4.1,25,,87475,Premium
WAIMEA,Men Stretchable Jeans,3499,6999,0.5,4.1,25,,87475,Premium
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
WAIMEA,Men Skinny Fit Jeans,3499,6999,0.5,3.8,16,,55984,Premium
WAIMEA,Men Skinny Fit Jeans,3499,6999,0.5,3.8,16,,55984,Premium
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Melvin Jones,Men Tapered Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Melvin Jones,Men Tapered Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Melvin Jones,Men Tapered Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Melvin Jones,Men Tapered Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
Roadster,Men Wide Leg Jeans,805,2599,0.69,3.1,35,,28175,Budget
Melvin Jones,Men Tapered Fit Jeans,805,2599,0.69,3.1,35,,28175,Budget
Melvin Jones,Men Tapered Fit Jeans,805,2599,0.69,3.1,35,,28175,Budget
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
Lee,Men Skinny Fit Jeans,1899,3799,0.5,4.8,5,,9495,Mid
Peter England Casuals,Men Skinny Fit Jeans,2099,2999,0.3,4.8,5,,10495,Premium
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,2099,2999,0.3,4.8,5,,10495,Premium
Allen Solly,Men Skinny Fit Jeans,2012,3299,0.39,4.8,5,,10060,Premium
Octave,Men Clean Look Cotton Jeans,1429,2199,0.35,4.8,5,,7145,Mid
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
Matinique,Men Mid Rise Jeans,3199,7999,0.6,4,63,,201537,Premium
BLUEBIRD,Men Slim Fit Cotton Jeans,2384,2649,0.1,4,63,,150192,Premium
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
BLUEBIRD,Men Slim Fit Mid Rise Jeans,2384,2649,0.1,4,63,,150192,Premium
BLUEBIRD,Men Slim Fit Jeans,1312,1458,0.1,3.5,6,,7872,Mid
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,1312,1458,0.1,3.5,6,,7872,Mid
BLUEBIRD,Men Slim Fit Jeans,1312,1458,0.1,3.5,6,,7872,Mid
BLUEBIRD,Men Slim Fit Jeans,2384,2649,0.1,3.5,6,,14304,Premium
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
BLUEBIRD,Men Slim Fit Mid Rise Jeans,2384,2649,0.1,4.2,130,,309920,Premium
