brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,Discount_Percentage,Revenue_Score,Price Category
SPYKAR,Men Tapered Fit Jeans,1332,3099,0.57,4.1,42,57,55944,Mid
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,42,165750,Mid
glitchez,Men Low-Distress WideLeg Jeans,703,1599,0.56,3,40,56,28120,Budget
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,3,40,34,92360,Premium
WROGN,Men Straight Stretchable Jeans,1259,1999,0.37,4.1,9,37,11331,Mid
WROGN,Men Bootcut Mid-Rise Jeans,909,2599,0.65,3.3,34,65,30906,Budget
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,48,64449,Premium
Mast & Harbour,Men Bootcut Fit Cotton Jeans,747,2199,0.66,4.1,25,66,18675,Budget
Roadster,Men Straight Fit Jeans,831,2599,0.68,4,32,68,26592,Budget
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,4,32,38,49568,Mid
WROGN,Men Baggy Pure Cotton Jeans,1295,2699,0.52,3.3,17,52,22015,Mid
Mast & Harbour,Men Slim Fit Stretchable Jeans,791,2199,0.64,3.9,16,64,12656,Budget
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,50,34975,Mid
glitchez,Men Cotton Wide Leg Jeans,735,1599,0.54,3.3,76,54,55860,Budget
Roadster,Men Pure Cotton Cargo Jeans,1259,3599,0.65,3.9,252,65,317268,Mid
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,59,22288,Mid
WROGN,Men Bootcut Jeans,1295,2699,0.52,4,165,52,213675,Mid
Mast & Harbour,Men Bootcut Jeans,747,2199,0.66,3,44,66,32868,Budget
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,40,260276,Premium
Roadster,Men Wide Leg Jeans,805,2599,0.69,3.8,8,69,6440,Budget
glitchez,Men Baggy Loose Fit Jeans,571,2199,0.74,3.9,97,74,55387,Budget
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17,63,21998,Mid
Roadster,Light Fade Stretchable Jeans,599,1499,0.6,3.8,92,60,55108,Budget
The Indian Garage Co,Men Skinny Fit Jeans,620,2299,0.73,4.1,301,73,186620,Budget
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22,63,34166,Mid
Roadster,Men Relaxed Fit Mid-Rise Jeans,577,1699,0.66,4.6,5,66,2885,Budget
